City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket
Kolkata,27/10/2018,106.58,165.18,127.22,70.18,196.43,19.28,1.68,6.92,30.92,7.05,12.76,281,Poor
Kolkata,28/10/2018,83.47,140.86,57.37,59.14,115.96,21.67,1.23,7.87,36.02,5.08,10.35,209,Poor
Kolkata,29/10/2018,28.53,47.29,6.67,47.55,54.22,20.77,0.91,2.7,22.42,3.62,9.22,90,Satisfactory
Kolkata,30/10/2018,17.27,33.52,5.9,38.61,44.51,19.22,0.85,2.32,16.74,4.55,8.64,59,Satisfactory
Kolkata,31/10/2018,9.37,27.49,7.04,39.91,46.95,17.75,0.75,2.49,23.47,3.61,9.21,53,Satisfactory
Kolkata,01/11/2018,23.18,41.36,39.35,41.77,80.39,15.74,0.88,2.65,21.77,4.39,8.05,94,Satisfactory
Kolkata,02/11/2018,30.72,62.59,54.56,60.43,114.91,11.35,1.08,4.48,18.5,4.35,9.05,114,Moderate
Kolkata,03/11/2018,41.75,78.82,31.62,68.24,99.86,15.2,1.11,5.74,25.91,4.51,7.87,125,Moderate
Kolkata,04/11/2018,30.55,51.67,3.55,42.36,45.91,17.79,0.84,5.9,32.05,1.87,7.28,92,Satisfactory
Kolkata,05/11/2018,32.08,56.14,4.79,46.63,51.42,13.55,0.95,11.74,28.77,1.65,6.94,63,Satisfactory
Kolkata,06/11/2018,102.66,136.51,12.66,56.58,69.23,13.23,1.06,16.7,39.33,4.91,11.13,82,Satisfactory
Kolkata,07/11/2018,233.1,264.82,23.69,61.25,84.99,22.69,1.4,10.42,29.94,7.83,10.33,375,'Very Poor'
Kolkata,08/11/2018,276.33,360.75,24.08,65.65,89.73,29.86,1.48,17.82,46.5,7.22,9.91,431,Severe
Kolkata,09/11/2018,183.88,285.82,23.38,70.35,93.59,25,1.31,17.1,52.02,5.45,8.35,350,'Very Poor'
Kolkata,10/11/2018,171.76,266.69,40.39,62.54,102.93,40.26,1.38,17.15,35.59,6.63,12.02,352,'Very Poor'
Kolkata,11/11/2018,132.37,210.28,57.51,41.33,98.81,42.32,1.26,13.57,31.44,7.14,9.98,316,'Very Poor'
Kolkata,12/11/2018,143.84,262.32,104.26,41.08,138.99,56.28,1.45,17.98,24.66,9.57,18.71,297,Poor
Kolkata,13/11/2018,183.64,294.5,110.36,60.11,165.31,23.48,1.63,15.13,29.69,14.2,26.27,331,'Very Poor'
Kolkata,14/11/2018,190.03,293.29,44.82,81.93,126.75,31.77,1.48,16.03,43.47,16.16,28.48,350,'Very Poor'
Kolkata,15/11/2018,172.8,299.16,17.72,90.97,107.85,31.5,1.16,27.53,42.49,11.38,23.92,346,'Very Poor'
Kolkata,16/11/2018,142.65,263.76,18.97,88.85,107.78,50.87,1.6,24.68,46.32,12.76,34.91,325,'Very Poor'
Kolkata,17/11/2018,131.5,237.02,33.2,82.9,116.07,47.97,1.61,17.05,57.08,8.3,22.28,282,Poor
Kolkata,18/11/2018,156.47,257.04,33.08,63.38,96.46,30.69,1.19,10.25,62.91,9.5,19.98,322,'Very Poor'
Kolkata,19/11/2018,130.82,217.97,56.77,76.65,130.46,42.28,1.42,9.88,56.14,15.37,25.21,293,Poor
Kolkata,20/11/2018,160.56,241.45,116.81,72.2,194.43,48.37,1.96,13.83,38.35,24.22,39.82,320,'Very Poor'
Kolkata,21/11/2018,154.97,230.9,98.61,67.2,116.07,36.62,1.55,12.99,36.99,14.56,23.92,335,'Very Poor'
Kolkata,22/11/2018,199.32,331.35,158.67,59.22,205,53.8,2.33,13.86,36.76,15.99,33.92,339,'Very Poor'
